gene_name,sample,counts,fraction
cydD,5,103,2.275840232480394e-05
cydX,5,291,6.429801045163055e-05
cynR,5,27,5.9657947841719064e-06
cynS,5,5,1.1047768118836864e-06
cynT,5,4,8.838214495069491e-07
cynX,5,19,4.198151885158009e-06
cyoA,5,1613,0.00035640099951367727
cyoB,5,1371,0.00030292980181850684
cyoC,5,649,0.0001434000301825025
cyoD,5,568,0.00012550264582998679
cyoE,5,1504,0.00033231686501461287
cysA,5,115,2.5409866673324788e-05
cysB,5,215,4.750540291099852e-05
cysC,5,69,1.5245920003994872e-05
cysD,5,58,1.2815411017850763e-05
cysE,5,507,0.0001120243687250058
cysG,5,369,8.153252871701606e-05
cysH,5,95,2.0990759425790042e-05
cysI,5,68,1.5024964641618136e-05
cysJ,5,29,6.4077055089253815e-06
cysK,5,1535,0.0003391664812482917
cysM,5,168,3.712050087929186e-05
cysN,5,236,5.214546552091e-05
cysP,5,42,9.280125219822966e-06
cysQ,5,4133,0.0009132085127030552
cysS,5,460,0.00010163946669329915
cysU,5,18,3.9771965227812715e-06
cysW,5,49,1.0826812756460126e-05
cysZ,5,176,3.888814377830576e-05
cytR,5,337,7.446195712096047e-05
dacA,5,216,4.772635827337525e-05
dacB,5,43,9.501080582199704e-06
dacC,5,1758,0.00038843952705830414
dacD,5,151,3.336425971888733e-05
dadA,5,2935,0.0006485039885757239
dadX,5,1980,0.00043749161750593986
dam,5,190,4.1981518851580085e-05
damX,5,1726,0.0003813689554622486
dapA,5,2350,0.0005192451015853326
dapB,5,600,0.00013257321742604237
dapD,5,2143,0.000473507341573348
dapE,5,893,0.0001973131386024264
dapF,5,246,5.435501914467737e-05
dauA,5,83,1.8339295077269194e-05
dbpA,5,76,1.6792607540632035e-05
dcd,5,1415,0.00031265183776308324
dcm,5,199,4.397011711297072e-05
dcp,5,646,0.00014273716409537229
dcrB,5,692,0.0001529011107647022
dctA,5,2322,0.0005130583514387839
dctR,5,2,4.4191072475347456e-07
dcuA,5,953,0.00021057046034503063
dcuB,5,91,2.0106937976283094e-05
dcuC,5,48,1.060585739408339e-05
dcuD,5,37,8.17534840793928e-06
dcuR,5,628,0.00013875996757259102
dcuS,5,665,0.0001469353159805303
dcyD,5,574,0.0001268283780042472
ddlA,5,288,6.363514436450034e-05
ddlB,5,1150,0.0002540986667332479
ddpA,5,304,6.717043016252814e-05
ddpB,5,40,8.838214495069492e-06
ddpC,5,38,8.396303770316017e-06
ddpD,5,47,1.0384902031706652e-05
ddpF,5,39,8.617259132692754e-06
ddpX,5,263,5.8111260305081905e-05
deaD,5,594,0.00013124748525178195
dedA,5,182,4.021387595256619e-05
dedD,5,430,9.501080582199703e-05
def,5,1338,0.0002956382748600745
degP,5,961,0.00021233810324404454
degQ,5,1545,0.00034137603487205913
degS,5,225,4.971495653476589e-05
deoA,5,376,8.307921625365322e-05
deoB,5,512,0.00011312914553688949
deoC,5,249,5.501788523180759e-05
deoD,5,465,0.00010274424350518285
deoR,5,166,3.667859015453839e-05
