,M_Mb_1,M_Mb_2,M_Rb,M_O,m_u,m_c,M,tRNA_c,tRNA_u,frequency,ribosome_content,phi_Rb,kappa,gamma,phi_Mb_1,alpha_1,nu_1,phi_Mb_2,alpha_2,nu_2,alloc_stability,tRNA_c_stability,tRNA_u_stability,time_hr,time_idx,death_rate,species_label,dilution_cycle,OD,relative_biomass,relative_time
1893,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268464096588513e-06,1.8202650135837263e+18,5.0918212608727885e-24,0.0004004008177783426,1.0,0.07479882387007292,5.7225646543539366e-21,1.4624331894460062e-23,1.6378691722474138e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607801392905e-20,1.0000000030911829,1.0,31.55,1893,0,0,1,15.828391422467185,35.90920488982815,22.033333333333335
1894,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268464067937995e-06,1.8202650135837263e+18,5.0918212451330374e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564636664443e-21,1.462433184925358e-23,1.6378691671844604e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607777743477e-20,1.0000000030911829,1.0,31.566666666666666,1894,0,0,1,15.828391422467185,35.90920488982815,22.05
1895,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268464039287478e-06,1.8202650135837263e+18,5.091821229393287e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564618974949e-21,1.4624331804047093e-23,1.6378691621215074e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607754094049e-20,1.000000003091183,1.0,31.583333333333332,1895,0,0,1,15.828391422467185,35.90920488982815,22.066666666666666
1896,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.26846401063696e-06,1.8202650135837263e+18,5.091821213653536e-24,0.0004004008177783426,1.0,0.07479882387007292,5.7225646012854546e-21,1.4624331758840608e-23,1.6378691570585542e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.65060773044462e-20,1.0000000030911829,1.0,31.599999999999998,1896,0,0,1,15.828391422467185,35.90920488982815,22.083333333333332
1897,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463981986443e-06,1.8202650135837263e+18,5.091821197913786e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564583595962e-21,1.4624331713634125e-23,1.6378691519956012e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607706795194e-20,1.0000000030911829,1.0,31.616666666666667,1897,0,0,1,15.828391422467185,35.90920488982815,22.1
1898,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463953335926e-06,1.8202650135837263e+18,5.091821182174035e-24,0.0004004008177783426,1.0,0.07479882387007292,5.7225645659064676e-21,1.462433166842764e-23,1.6378691469326482e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607683145766e-20,1.000000003091183,1.0,31.633333333333333,1898,0,0,1,15.828391422467185,35.90920488982815,22.116666666666667
1899,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463924685407e-06,1.8202650135837263e+18,5.091821166434284e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564548216973e-21,1.4624331623221156e-23,1.637869141869695e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607659496338e-20,1.0000000030911829,1.0,31.65,1899,0,0,1,15.828391422467185,35.90920488982815,22.133333333333333
1900,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.26846389603489e-06,1.8202650135837263e+18,5.091821150694534e-24,0.0004004008177783426,1.0,0.07479882387007292,5.72256453052748e-21,1.462433157801467e-23,1.6378691368067417e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.65060763584691e-20,1.000000003091183,1.0,31.666666666666668,1900,0,0,1,15.828391422467185,35.90920488982815,22.150000000000002
1901,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463867384372e-06,1.8202650135837263e+18,5.091821134954783e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564512837986e-21,1.462433153280819e-23,1.6378691317437884e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607612197483e-20,1.0000000030911829,1.0,31.683333333333334,1901,0,0,1,15.828391422467185,35.90920488982815,22.166666666666668
1902,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463838733856e-06,1.8202650135837263e+18,5.0918211192150325e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564495148492e-21,1.4624331487601704e-23,1.6378691266808355e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607588548054e-20,1.000000003091183,1.0,31.7,1902,0,0,1,15.828391422467185,35.90920488982815,22.183333333333334
1903,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463810083337e-06,1.8202650135837263e+18,5.0918211034752815e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564477458998e-21,1.462433144239522e-23,1.6378691216178821e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607564898626e-20,1.0000000030911829,1.0,31.716666666666665,1903,0,0,1,15.828391422467185,35.90920488982815,22.2
1904,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.26846378143282e-06,1.8202650135837263e+18,5.091821087735531e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564459769505e-21,1.4624331397188736e-23,1.6378691165549291e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.6506075412492e-20,1.000000003091183,1.0,31.733333333333334,1904,0,0,1,15.828391422467185,35.90920488982815,22.21666666666667
1905,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463752782302e-06,1.8202650135837263e+18,5.09182107199578e-24,0.0004004008177783426,1.0,0.07479882387007292,5.72256444208001e-21,1.462433135198225e-23,1.637869111491976e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607517599771e-20,1.0000000030911829,1.0,31.75,1905,0,0,1,15.828391422467185,35.90920488982815,22.233333333333334
1906,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463724131785e-06,1.8202650135837263e+18,5.09182105625603e-24,0.0004004008177783426,1.0,0.07479882387007292,5.7225644243905165e-21,1.4624331306775767e-23,1.637869106429023e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607493950343e-20,1.0000000030911833,1.0,31.766666666666666,1906,0,0,1,15.828391422467185,35.90920488982815,22.25
1907,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463695481267e-06,1.8202650135837263e+18,5.091821040516278e-24,0.0004004008177783426,1.0,0.07479882387007292,5.7225644067010215e-21,1.4624331261569278e-23,1.6378691013660693e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607470300914e-20,1.0000000030911829,1.0,31.78333333333333,1907,0,0,1,15.828391422467185,35.90920488982815,22.266666666666666
1908,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.26846366683075e-06,1.8202650135837263e+18,5.091821024776528e-24,0.0004004008177783426,1.0,0.07479882387007292,5.7225643890115295e-21,1.4624331216362798e-23,1.6378690963031167e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607446651488e-20,1.0000000030911833,1.0,31.8,1908,0,0,1,15.828391422467185,35.90920488982815,22.283333333333335
1909,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463638180232e-06,1.8202650135837263e+18,5.0918210090367765e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564371322034e-21,1.462433117115631e-23,1.6378690912401631e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607423002058e-20,1.0000000030911829,1.0,31.816666666666666,1909,0,0,1,15.828391422467185,35.90920488982815,22.3
1910,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463609529715e-06,1.8202650135837263e+18,5.091820993297026e-24,0.0004004008177783426,1.0,0.07479882387007292,5.72256435363254e-21,1.4624331125949827e-23,1.6378690861772101e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.65060739935263e-20,1.000000003091183,1.0,31.833333333333332,1910,0,0,1,15.828391422467185,35.90920488982815,22.316666666666666
1911,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463580879196e-06,1.8202650135837263e+18,5.091820977557275e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564335943046e-21,1.462433108074334e-23,1.6378690811142567e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607375703202e-20,1.000000003091183,1.0,31.849999999999998,1911,0,0,1,15.828391422467185,35.90920488982815,22.333333333333332
1912,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.26846355222868e-06,1.8202650135837263e+18,5.091820961817525e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564318253553e-21,1.462433103553686e-23,1.637869076051304e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607352053776e-20,1.000000003091183,1.0,31.866666666666667,1912,0,0,1,15.828391422467185,35.90920488982815,22.35
1913,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463523578161e-06,1.8202650135837263e+18,5.091820946077774e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564300564058e-21,1.4624330990330372e-23,1.6378690709883505e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607328404347e-20,1.000000003091183,1.0,31.883333333333333,1913,0,0,1,15.828391422467185,35.90920488982815,22.366666666666667
1914,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463494927644e-06,1.8202650135837263e+18,5.091820930338023e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564282874565e-21,1.462433094512389e-23,1.6378690659253975e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607304754919e-20,1.000000003091183,1.0,31.9,1914,0,0,1,15.828391422467185,35.90920488982815,22.383333333333333
1915,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463466277126e-06,1.8202650135837263e+18,5.091820914598272e-24,0.0004004008177783426,1.0,0.07479882387007292,5.7225642651850704e-21,1.4624330899917403e-23,1.6378690608624441e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607281105491e-20,1.000000003091183,1.0,31.916666666666668,1915,0,0,1,15.828391422467185,35.90920488982815,22.400000000000002
1916,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.26846343762661e-06,1.8202650135837263e+18,5.091820898858522e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564247495577e-21,1.462433085471092e-23,1.6378690557994913e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607257456063e-20,1.000000003091183,1.0,31.933333333333334,1916,0,0,1,15.828391422467185,35.90920488982815,22.416666666666668
1917,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.26846340897609e-06,1.8202650135837263e+18,5.091820883118771e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564229806083e-21,1.4624330809504434e-23,1.637869050736538e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607233806635e-20,1.000000003091183,1.0,31.95,1917,0,0,1,15.828391422467185,35.90920488982815,22.433333333333334
1918,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463380325574e-06,1.8202650135837263e+18,5.0918208673790205e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564212116589e-21,1.4624330764297952e-23,1.6378690456735849e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607210157207e-20,1.0000000030911833,1.0,31.966666666666665,1918,0,0,1,15.828391422467185,35.90920488982815,22.45
1919,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463351675056e-06,1.8202650135837263e+18,5.0918208516392694e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564194427095e-21,1.4624330719091466e-23,1.6378690406106317e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607186507779e-20,1.000000003091183,1.0,31.983333333333334,1919,0,0,1,15.828391422467185,35.90920488982815,22.46666666666667
1920,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463323024539e-06,1.8202650135837263e+18,5.091820835899519e-24,0.0004004008177783426,1.0,0.07479882387007292,5.7225641767376014e-21,1.4624330673884983e-23,1.6378690355476787e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607162858351e-20,1.0000000030911833,1.0,32.0,1920,0,0,1,15.828391422467185,35.90920488982815,22.483333333333334
1921,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.26846329437402e-06,1.8202650135837263e+18,5.091820820159768e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564159048107e-21,1.4624330628678497e-23,1.6378690304847253e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607139208924e-20,1.000000003091183,1.0,32.016666666666666,1921,0,0,1,15.828391422467185,35.90920488982815,22.5
1922,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463265723504e-06,1.8202650135837263e+18,5.091820804420018e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564141358614e-21,1.4624330583472014e-23,1.6378690254217725e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607115559497e-20,1.0000000030911833,1.0,32.03333333333333,1922,0,0,1,15.828391422467185,35.90920488982815,22.516666666666666
1923,1.7619099701527318e+16,6.653464742502129e+17,1.3615368214790502e+17,1.0011457574840812e+18,728835600012229.9,9.268463237072985e-06,1.8202650135837263e+18,5.0918207886802666e-24,0.0004004008177783426,1.0,0.07479882387007292,5.722564123669119e-21,1.4624330538265528e-23,1.637869020358819e-18,-7.431686261652608e-06,-1.651485835922802e-05,0.0,0.4500074316862616,1.0000165148583593,0.0,7.650607091910068e-20,1.000000003091183,1.0,32.05,1923,0,0,1,15.828391422467185,35.90920488982815,22.53333333333333
