well,od600nm,identifier,replicate,growth_medium,date,run_number,time_hr,avg_blank_value,strain,class,od600nm_subtracted
D4,0.085,GC049,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆pot,Single KO,0.006037037037037049
D5,0.086,GC052,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆nmp,Single KO,0.007037037037037036
D6,0.088,GC047,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆his,Single KO,0.009037037037037038
D7,0.091,GC050,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆rbs,Single KO,0.01203703703703704
D8,0.083,GC048,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆dpp,Single KO,0.004037037037037047
D9,0.083,GC053,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆opp,Single KO,0.004037037037037047
D10,0.089,GC055,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆mgl,Single KO,0.010037037037037039
E3,0.085,GC032,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆mal,Single KO,0.006037037037037049
E4,0.087,GC049,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆pot,Single KO,0.008037037037037037
E5,0.086,GC052,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆nmp,Single KO,0.007037037037037036
E6,0.089,GC047,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆his,Single KO,0.010037037037037039
E7,0.089,GC050,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆rbs,Single KO,0.010037037037037039
E8,0.084,GC048,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆dpp,Single KO,0.005037037037037048
E9,0.086,GC053,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆opp,Single KO,0.007037037037037036
E10,0.089,GC055,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆mgl,Single KO,0.010037037037037039
F3,0.084,GC030,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆glt,Single KO,0.005037037037037048
F4,0.085,GC030,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆glt,Single KO,0.006037037037037049
F5,0.084,GC030,3,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆glt,Single KO,0.005037037037037048
F6,0.084,GC029,1,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆flh,Single KO,0.005037037037037048
F7,0.086,GC029,2,glucose-acetate,2021-09-07,1,0.2511111111111111,0.07896296296296296,∆flh,Single KO,0.007037037037037036
