nu_max_preshift,nu_max_postshift,lag_time_hr,shift_time,regrowth_time,shift_biomass,min_gamma,preshift_growth_rate_hr,postshift_growth_rate_hr,useful_fraction_pre,useful_fraction_post
8.0,4.0,2.143159777017574,0.9,3.043159777017574,1.935e+16,0.176797992186476,1.646177484662474,1.0839443481284752,1,1
8.5,4.0,2.1480010769544093,0.8666666666666667,3.014667743621076,1.935e+16,0.16939103679284562,1.6998377745200643,1.0839376859958825,1,1
9.0,4.0,2.1418406491392177,0.85,2.9918406491392178,1.935e+16,0.16255234026140358,1.7507803143340208,1.083930758596211,1,1
9.5,4.0,2.149011867322799,0.8166666666666667,2.9656785339894656,1.935e+16,0.1582582852052962,1.7989974306362209,1.0839242304569041,1,1
10.0,4.0,2.149701470543178,0.8,2.949701470543178,1.935e+16,0.15456549372599637,1.8449305136199625,1.0839122332685114,1,1
10.5,4.0,2.146612096407953,0.7833333333333333,2.929945429741286,1.935e+16,0.14903961322974063,1.8885115423433805,1.0839075074869857,1,1
11.0,4.0,2.151369934026061,0.7666666666666666,2.9180366006927274,1.935e+16,0.1447309067452471,1.930024848101244,1.0839023410501036,1,1
11.5,4.0,2.1534941079906798,0.75,2.9034941079906798,1.935e+16,0.14132619913949987,1.969617639931065,1.083884785327005,1,1
12.0,4.0,2.1555412989638283,0.7333333333333333,2.8888746322971617,1.935e+16,0.1390562983282542,2.007567581682612,1.0838826374097,1,1
12.5,4.0,2.143818245348868,0.7333333333333333,2.8771515786822013,1.935e+16,0.13560437727401103,2.0437164769133838,1.0838758501289132,1,1
13.0,4.0,2.1516392965754303,0.7166666666666667,2.868305963242097,1.935e+16,0.13198172171487899,2.0783059842650315,1.083858642828932,1,1
13.5,4.0,2.158411683300935,0.7,2.858411683300935,1.935e+16,0.12887629642328866,2.111440752004878,1.0838622000324825,1,1
14.0,4.0,2.1443684284796465,0.7,2.8443684284796467,1.935e+16,0.12787048692641925,2.143212935158189,1.0838514621754929,1,1
14.5,4.0,2.1566182463675228,0.6833333333333333,2.8399515797008563,1.935e+16,0.1242842686506847,2.1738616119571614,1.0838488283704597,1,1
15.0,4.0,2.1643646310216424,0.6666666666666666,2.831031297688309,1.935e+16,0.12241428276054386,2.2031629235832315,1.0838398183430744,1,1
15.5,4.0,2.1581614978458092,0.6666666666666666,2.8248281645124758,1.935e+16,0.1202566767540449,2.2313308029285377,1.0838299893213648,1,1
16.0,4.0,2.1669844096149986,0.65,2.8169844096149985,1.935e+16,0.11820210847690651,2.258434966186645,1.0838057833754031,1,1
16.5,4.0,2.1633792494812503,0.65,2.81337924948125,1.935e+16,0.1163161885125018,2.2845361488685367,1.083819873242246,1,1
17.0,4.0,2.1546692048189775,0.65,2.8046692048189774,1.935e+16,0.11548391127994169,2.309690700168886,1.083820372861539,1,1
