,dilution_cycle,species_label,preshift_nutrient_label,stall_biomass,entry_time_hr,exit_time_hr,lag_time_hr,nu_preshift,nu_postshift,K,lam_postshift,lam_preshift,alpha_2_preallocation
0,1.0,0.0,0.0,1.9351006842094484e+16,0.8270000000000001,5.979385874884178,5.152385874884178,10,4.0,1e-08,1.0837320586302452,1.8438823282862167,2.6008227924541727e-05
0,1.0,0.0,0.0,1.9351075205884204e+16,0.8270000000000001,4.919900305525313,4.092900305525313,10,5.0,1e-08,1.256341357391382,1.8438832555742237,2.6008226159244455e-05
0,1.0,0.0,0.0,1.9351143709469268e+16,0.8270000000000001,4.220530545998495,3.3935305459984955,10,6.0,1e-08,1.4066352363350285,1.843884183996341,2.6008224376293257e-05
0,1.0,0.0,0.0,1.9351212360929524e+16,0.8270000000000001,3.7234351059744517,2.8964351059744518,10,7.0,1e-08,1.538806663235892,1.8438851116703094,2.600822263210536e-05
0,1.0,0.0,0.0,1.9351281131826824e+16,0.8270000000000001,3.354700624790867,2.527700624790867,10,8.0,1e-08,1.6560303842882185,1.8438860396067682,2.6008220868471582e-05
0,1.0,0.0,0.0,1.935135008639258e+16,0.8270000000000001,3.0678276842279133,2.2408276842279133,10,9.0,1e-08,1.7607638907673286,1.8438869669730806,2.60082191159015e-05
0,1.0,0.0,0.0,1.935141920000837e+16,0.8270000000000001,2.8420455252209287,2.0150455252209287,10,10.0,1e-08,1.8549365039291583,1.843887894972062,2.6008217352484266e-05
0,1.0,0.0,0.0,1.935148838644021e+16,0.8270000000000001,2.6570693910499386,1.8300693910499386,10,11.0,1e-08,1.9401295804759318,1.8438888229692834,2.6008215556094783e-05
0,1.0,0.0,0.0,1.935155777170223e+16,0.8270000000000001,2.505423897037113,1.678423897037113,10,12.0,1e-08,2.0175746837098867,1.8438897506672098,2.6008213824462956e-05
0,1.0,0.0,0.0,1.935162734489233e+16,0.8270000000000001,2.3737198342866717,1.5467198342866717,10,13.0,1e-08,2.088306179816736,1.8438906786222502,2.600821206081037e-05
0,1.0,0.0,0.0,1.9351696983560204e+16,0.8270000000000001,2.265995387032169,1.4389953870321692,10,14.0,1e-08,2.1531801080406057,1.8438889376978183,2.601435474376758e-05
0,1.0,0.0,0.0,1.935176681962066e+16,0.8270000000000001,2.1716461830399325,1.3446461830399326,10,15.0,1e-08,2.2129264215443487,1.8438898653755742,2.6014352972876315e-05
0,1.0,0.0,0.0,1.9351836844258524e+16,0.8270000000000001,2.087637735678247,1.2606377356782472,10,16.0,1e-08,2.268121702661246,1.8438907933029633,2.601435120525702e-05
0,1.0,0.0,0.0,1.9351906979029896e+16,0.8270000000000001,2.016561051607663,1.189561051607663,10,17.0,1e-08,2.319289126447858,1.8438917210539925,2.601434942366166e-05
0,1.0,0.0,0.0,1.9351977283915904e+16,0.8270000000000001,1.9525516003263177,1.1255516003263177,10,18.0,1e-08,2.3668667932104452,1.8438926488332221,2.6014347667889448e-05
0,1.0,0.0,0.0,1.935204771466536e+16,0.8270000000000001,1.8957741244340347,1.0687741244340345,10,19.0,1e-08,2.4112291843610976,1.8438935765457227,2.6014345885892765e-05
0,1.0,0.0,0.0,1.9352118336983876e+16,0.8270000000000001,1.8451671225291386,1.0181671225291384,10,20.0,1e-08,2.4526942809701278,1.8438945043833064,2.6014344129109522e-05
0,1.0,0.0,0.0,1.935135331870077e+16,0.8270000000000001,17.220506870384494,16.393506870384492,10,1.0,1e-07,0.3595737190419319,1.8438280089991266,0.00025955340302443234
0,1.0,0.0,0.0,1.9351974103907736e+16,0.8270000000000001,8.888361461862074,8.061361461862074,10,2.0,1e-07,0.6463600065712545,1.8438276041547164,0.0002597547871528176
0,1.0,0.0,0.0,1.935259698241761e+16,0.8270000000000001,6.114036009895326,5.287036009895326,10,3.0,1e-07,0.8831123286764623,1.8438368639217912,0.00025975461241365907
0,1.0,0.0,0.0,1.9353222146613292e+16,0.8270000000000001,4.7437341904638055,3.9167341904638056,10,4.0,1e-07,1.0837320012671623,1.8438461253616758,0.0002597544377162542
0,1.0,0.0,0.0,1.9353849447424464e+16,0.8270000000000001,3.930469373518135,3.103469373518135,10,5.0,1e-07,1.2563401414593436,1.843845749472486,0.0002599565508983571
0,1.0,0.0,0.0,1.93544789770248e+16,0.8270000000000001,3.3948258308205355,2.5678258308205355,10,6.0,1e-07,1.406635105370463,1.8438620311593392,0.0002598144133629573
0,1.0,0.0,0.0,1.9355110601660484e+16,0.8270000000000001,3.0169035621654188,2.189903562165419,10,7.0,1e-07,1.5388081308680934,1.8438712903184316,0.00025981423811903694
0,1.0,0.0,0.0,1.9355744834890388e+16,0.8270000000000001,2.7303514786801957,1.9033514786801957,10,8.0,1e-07,1.6560284245146157,1.8438709340076482,0.0002600168328236092
0,1.0,0.0,0.0,1.935638117941228e+16,0.8270000000000001,2.5146848488869167,1.6876848488869167,10,9.0,1e-07,1.7607675442195714,1.843880212832239,0.00026001665660559836
0,1.0,0.0,0.0,1.935701985236829e+16,0.8270000000000001,2.3424419355695947,1.5154419355695947,10,10.0,1e-07,1.854944868739938,1.8438894885193045,0.00026001648035069055
0,1.0,0.0,0.0,1.935766088891616e+16,0.8270000000000001,2.2024111558568293,1.3754111558568294,10,11.0,1e-07,1.940117865711295,1.8438960972864251,0.0002600776950626884
0,1.0,0.0,0.0,1.9358304087508984e+16,0.8270000000000001,2.0874055197102166,1.2604055197102166,10,12.0,1e-07,2.0175708959708327,1.8439053709681033,0.0002600775183050316
0,1.0,0.0,0.0,1.9358949547336788e+16,0.8270000000000001,1.9894747865039322,1.1624747865039322,10,13.0,1e-07,2.0883024881715957,1.843914646784393,0.00026007734154004234
