nu_max_preshift,nu_max_postshift,lag_time_hr,shift_time,regrowth_time,shift_biomass,min_gamma,preshift_growth_rate_hr,postshift_growth_rate_hr,useful_fraction_pre,useful_fraction_post
10.0,6.333333333333333,3.211401072772737,1.1,4.311401072772737,3.41e+16,0.12564011333759492,1.8428861592783894,0.7778667038551974,1,0.4
10.0,7.222222222222221,2.7863573775981334,1.1,3.8863573775981335,3.41e+16,0.1435945063821198,1.8432339644343358,0.858898691967322,1,0.4
10.0,8.11111111111111,2.4548531929818496,1.1,3.5548531929818497,3.41e+16,0.16163218620885678,1.8435816356743389,0.9352545371849178,1,0.4
10.0,9.0,2.1970260926723486,1.1,3.2970260926723487,3.41e+16,0.1797544862499528,1.8439291718897797,1.0073562001160894,1,0.4
10.0,1.0,17.87803641595966,1.1,18.97803641595966,3.41e+16,0.024422581410552292,1.8410901186833941,0.19352259529037846,1,0.5
10.0,1.8888888888888888,9.118247036882366,1.1,10.218247036882365,3.41e+16,0.04641103215539583,1.8414291919158934,0.34269156858504496,1,0.5
10.0,2.7777777777777777,6.098813423811578,1.1,7.198813423811577,3.41e+16,0.06848478380955687,1.8418629064332581,0.47882957219562494,1,0.5
10.0,3.6666666666666665,4.542537686117752,1.1,5.642537686117752,3.41e+16,0.09060944462221837,1.842296399970435,0.6027044991179057,1,0.5
10.0,4.555555555555555,3.598353270935696,1.1,4.698353270935696,3.41e+16,0.11278988124967983,1.8427296841606284,0.7164705098486156,1,0.5
10.0,5.444444444444445,2.9708816568034577,1.1,4.070881656803458,3.41e+16,0.13517519301478947,1.8430709562215257,0.8215244642181736,1,0.5
10.0,6.333333333333333,2.5230621907547133,1.1,3.6230621907547134,3.41e+16,0.1576791063888497,1.8435055951439263,0.9189263686041053,1,0.5
10.0,7.222222222222221,2.189058302206725,1.1,3.2890583022067252,3.41e+16,0.18032245139124373,1.8439400167902107,1.0095541288129304,1,0.5
10.0,8.11111111111111,1.9275714865791111,1.1,3.0275714865791112,3.41e+16,0.20310506971170736,1.8443742426102592,1.0941342961564986,1,0.5
10.0,9.0,1.722803016233176,1.1,2.822803016233176,3.41e+16,0.22595352870986102,1.844808238341488,1.1732790545045553,1,0.5
