dilution_cycle,species_label,preshift_nutrient_label,stall_biomass,entry_time_hr,exit_time_hr,lag_time_hr,nu_max_preshift,nu_max_postshift,growth_rate_preshift,growth_rate_postshift,K
1,0,0,1.5256348648736562e+16,7.8999999999999995,12.964823562499596,5.064823562499597,2,1.1666666666666665,0.6370978489340491,0.4113398855828639,1e-05
1,0,0,1.5256348648736562e+16,7.8999999999999995,15.131490229166264,7.231490229166265,2,1.1666666666666665,0.6370978489340491,0.4113398855828639,1e-05
1,0,0,1.5256348648736562e+16,7.8999999999999995,39.2148235624996,31.314823562499605,2,1.1666666666666665,0.6370978489340491,0.4113398855828639,1e-05
1,0,1,8.850148659969761e+20,39.56666666666666,,,2,1.1666666666666665,0.6370978489340491,0.4113398855828639,1e-05
1,0,0,1.5328451431219444e+16,7.916666666666667,12.295414835396281,4.378748168729614,2,1.3333333333333333,0.6379710544738814,0.46168264957934113,1e-05
1,0,0,1.5328451431219444e+16,7.916666666666667,15.395414835396279,7.478748168729612,2,1.3333333333333333,0.6379710544738814,0.46168264957934113,1e-05
1,0,0,1.5328451431219444e+16,7.916666666666667,40.21208150206295,32.295414835396286,2,1.3333333333333333,0.6379710544738814,0.46168264957934113,1e-05
1,0,1,8.850148742698825e+20,36.0,-inf,-inf,2,1.3333333333333333,0.6379710544738814,0.46168264957934113,1e-05
1,0,0,1.5394069147736568e+16,7.916666666666667,11.784647687941282,3.8679810212746153,2,1.5,0.6388340880655269,0.510922441791408,1e-05
1,0,0,1.5394069147736568e+16,7.916666666666667,41.00131435460795,33.084647687941285,2,1.5,0.6388340880655269,0.510922441791408,1e-05
1,0,1,8.850148704614288e+20,33.233333333333334,,,2,1.5,0.6388340880655269,0.510922441791408,1e-05
1,0,0,1.5434311237090812e+16,7.883333333333333,11.353754141438797,3.470420808105464,2,1.6666666666666665,0.6396978404830862,0.5575679103426643,1e-05
1,0,0,1.5434311237090812e+16,7.883333333333333,41.687087474772134,33.8037541414388,2,1.6666666666666665,0.6396978404830862,0.5575679103426643,1e-05
1,0,1,8.850148753594209e+20,31.0,,,2,1.6666666666666665,0.6396978404830862,0.5575679103426643,1e-05
1,0,0,1.5470370094618726e+16,7.85,11.001542308136774,3.151542308136774,2,1.8333333333333333,0.6405623758752704,0.6027293615108614,1e-05
1,0,0,1.5470370094618726e+16,7.85,42.23487564147011,34.38487564147011,2,1.8333333333333333,0.6405623758752704,0.6027293615108614,1e-05
1,0,1,8.850148799264825e+20,29.183333333333334,,,2,1.8333333333333333,0.6405623758752704,0.6027293615108614,1e-05
1,0,0,1.5535182207516372e+16,7.85,10.710208260738426,2.8602082607384265,2,2.0,0.6414277782039821,0.6464831900603636,1e-05
