time_hr,od650nm,culture_temp_C,stir_rate,date,strain,tech_rep,preshift_carbon,preshift_conc_M,postshift_carbon,postshift_conc_M
19.38613888888889,0.2083694450453977,36.950000000000045,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.402827777777777,0.2151221998862186,36.89000000000004,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.41951388888889,0.2103494316255681,37.110000000000014,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.436197222222223,0.2158727325555908,36.89000000000004,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.452872222222222,0.2050807119972941,37.05000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.46954722222222,0.2255307560586104,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.486227777777778,0.2204188418710237,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.50291111111111,0.2102699521791982,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.5196,0.2157477136118183,37.09000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.536275,0.21604758591328,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.55295277777778,0.2089768011493059,36.97000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.569633333333332,0.2237791702429031,37.13000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.586322222222222,0.219325750548446,37.110000000000014,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.603008333333335,0.223850067130788,37.13000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.619683333333334,0.2267866231320781,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.636372222222224,0.2096206974019547,36.85000000000002,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.65305277777778,0.2113932824531427,36.79000000000002,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.669741666666667,0.2280627670643611,36.97000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.686425,0.227884053297385,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.703108333333333,0.2259341933177685,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.719797222222223,0.2162519282791482,36.85000000000002,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.736472222222222,0.2253117078293116,37.190000000000055,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.75315277777778,0.2220739659784461,36.89000000000004,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.769838888888888,0.2343381238322591,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.786525,0.2161936300439284,37.05000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.803205555555554,0.2284950455804479,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.81988888888889,0.2324593381885638,36.77000000000004,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.836577777777777,0.2232186322092779,37.09000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.85326388888889,0.2177228928783349,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.869944444444446,0.2200480500590684,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.886630555555556,0.2128515215690239,37.21000000000004,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.903308333333335,0.2083712706077765,36.870000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.919997222222225,0.2226023978380757,36.93000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.936680555555558,0.2277963410305061,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.953361111111114,0.2299691051841352,37.110000000000014,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.97003888888889,0.2101213153538645,36.950000000000045,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
19.98671388888889,0.2131373174232696,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.00339166666667,0.212157768872354,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.020069444444445,0.2188990222442506,37.05000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.03675,0.2182385607255584,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.053427777777777,0.2152621818862458,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.070108333333334,0.2121471858247804,36.870000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.086794444444447,0.2102234844700129,36.950000000000045,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.103480555555556,0.2294836095400351,36.97000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.120169444444446,0.2269739356414673,36.85000000000002,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.136858333333333,0.2206861681142497,36.97000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.153547222222223,0.2099438841108773,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.170233333333332,0.229043749354837,36.950000000000045,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.186919444444445,0.2269445807826932,36.950000000000045,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.2036,0.2215198977228686,37.25000000000006,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.220280555555554,0.2199564274507661,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.236958333333334,0.2184931304496559,37.05000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.25363611111111,0.2286271677296526,37.190000000000055,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.27031388888889,0.2256271407444165,37.110000000000014,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.28698888888889,0.2296658811253901,36.97000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.303675,0.2108055817869268,37.09000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.32035833333333,0.2178666869737798,37.05000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.337041666666668,0.2336450779066124,37.05000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.353730555555554,0.2127508938943271,36.950000000000045,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.370419444444444,0.2139702200784789,36.950000000000045,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.387105555555557,0.2261844874603872,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.403786111111113,0.2334530288695115,37.13000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.420472222222223,0.2182516501517002,36.93000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.437147222222222,0.2219375044754226,36.85000000000002,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.453830555555555,0.2128559713180237,36.97000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.470508333333335,0.2133229898022369,36.89000000000004,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.48718611111111,0.2213418881207711,37.09000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.503872222222224,0.2171032803251658,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.52055,0.2276023650604386,37.110000000000014,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.537230555555556,0.2199277069946884,37.110000000000014,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.553908333333336,0.2280528909569271,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.570597222222222,0.2158509209419085,36.870000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.58728611111111,0.2162990105322441,36.950000000000045,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.60396388888889,0.2167182607199395,37.09000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.620652777777778,0.2188567418571257,37.09000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.637338888888888,0.2083782521001134,37.09000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.654027777777777,0.206903413661639,36.85000000000002,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.67071388888889,0.2419157587515847,36.97000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.687397222222224,0.2200649390093193,36.93000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.704075,0.2251119497048632,36.97000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.720758333333333,0.2294660878629077,37.190000000000055,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.737444444444446,0.2266353565859237,37.27000000000004,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.75412222222222,0.216692258664556,37.110000000000014,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.770802777777778,0.2397925725149171,36.950000000000045,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.787480555555554,0.2275318913926749,36.85000000000002,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.804158333333334,0.2094120730229421,36.79000000000002,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.820844444444443,0.2309712999334506,36.870000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.837525,0.2378355358862376,37.170000000000016,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.85421388888889,0.2098466661526908,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.87090277777778,0.2255818609861963,36.89000000000004,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.887591666666665,0.2398187090114511,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.90426944444444,0.2256104632214133,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
20.920955555555555,0.2172706691654438,36.81,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
