time_hr,od650nm,culture_temp_C,stir_rate,date,strain,tech_rep,preshift_carbon,preshift_conc_M,postshift_carbon,postshift_conc_M,log_od650nm_filtered,pearson_correlation,phase,time_hr_centered,od650nm_centered,log_od650nm_filtered_centered
3.103302777777777,0.1945872112973349,36.97000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.642331439013354,0.9985793137653196,preshift_exponential,-1.1511444444444456,0.473662587143206,1.8708448177966144
3.119980555555556,0.2004414641735831,37.09000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.6264943087856918,0.9985358417721896,preshift_exponential,-1.1344666666666663,0.4879129612796499,1.852804115225036
3.136658333333333,0.1983305390331682,36.950000000000045,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.614149710849819,0.998616213107737,preshift_exponential,-1.1177888888888896,0.4827745646881763,1.83874189457487
3.153347222222222,0.2036655438911066,36.93000000000001,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.6018873280961723,0.9987463476976975,preshift_exponential,-1.1011000000000006,0.4957609895749145,1.8247733284964665
3.170036111111111,0.1824591636068416,37.03000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.59260462797282,0.9989415289398088,preshift_exponential,-1.0844111111111117,0.444140593340143,1.814199036968949
3.186713888888889,0.1916499160079307,36.89000000000004,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.5807956261279024,0.9990387925235492,preshift_exponential,-1.067733333333334,0.4665126471409475,1.800746935048409
3.203391666666666,0.2088486676235569,37.09000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.5702983157510968,0.9991551037163444,preshift_exponential,-1.0510555555555563,0.508377706676864,1.7887890328535587
3.2200722222222224,0.2121129764274671,37.01000000000005,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.560492115895813,0.9992265435168564,preshift_exponential,-1.0343750000000005,0.5163236602828892,1.777618402038285
3.236761111111111,0.2158755640474135,36.85000000000002,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.5467606611602016,0.9992199835657168,preshift_exponential,-1.0176861111111115,0.5254825200791458,1.761976357854828
3.2534472222222224,0.2142842579867832,36.97000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.5368690634058346,0.9992603864052227,preshift_exponential,-1.0010000000000003,0.5216089759721638,1.7507084469089087
